width,height,class
206.0,72.0,3. IR43
219.03652663425797,67.00746227100382,3. IR43
205.0,69.0,3. IR43
206.69603285984954,65.04805915628843,3. IR43
216.0,70.0,3. IR43
499.0,72.0,4. Legowo
515.097078228949,77.02596964660685,4. Legowo
456.5,66.00189391222042,4. Legowo
380.0,90.0,4. Legowo
801.7208055177314,79.65707752610561,4. Legowo
209.87615395751848,78.77182237323191,1. ciherang
213.9263892089987,101.70791512955125,1. ciherang
216.27991122617004,69.1158447825099,1. ciherang
218.0,68.0,1. ciherang
231.01352774242466,71.50699266505339,1. ciherang
229.0087334579186,76.00657866263946,2. IR32
220.25042565225613,71.5629093874753,2. IR32
229.02674516309224,77.5064513443881,2. IR32
227.01982292302142,75.0066663703967,2. IR32
226.0,73.0,2. IR32
